study,transition,ligand,receptor,sender,receiver,log2FC,pLig,pRec,score_sham,score_mcao,pathway,sig
GSE197731_KO,48h,Osm,Osmr,Microglia,Endothelial,0.8437944,0.0011683785,0.2946722,0.20321664,0.36552075,Cytokine,True
GSE197731_KO,24h,Pdcd1,Cd274,Tcell,Bcell,-1.3262616,0.19306724,0.2266112,0.20404783,0.08077313,Checkpoint,False
GSE197731_KO,48h,Pdcd1,Cd274,Tcell,Bcell,-1.9159954,0.013198651,0.12388064,0.20404783,0.053335432,Checkpoint,True
GSE197731_KO,24h,Pdgfa,Pdgfrb,Pericyte,Pericyte,1.1970298,0.042107765,0.009224335,0.3900396,0.8955254,PDGF,True
GSE197731_KO,24h,Pecam1,Pecam1,Tcell,Tcell,2.1683319,0.02598034,0.02598034,0.044364613,0.20291543,Adhesion,True
GSE197731_KO,48h,Pecam1,Pecam1,NK,NK,1.1094661,0.045031108,0.045031108,0.00637933,0.01492207,Adhesion,True
GSE197731_KO,24h,S100a8,Tlr4,Tcell,Macrophage,3.3648112,3.3745715e-07,2.3913277e-13,0.0259959,0.2771038,Alarmin,True
GSE197731_KO,48h,S100a8,Tlr4,Microglia,Oligodendrocyte,4.5780907,0.0,0.81577146,0.028080815,0.69362307,Alarmin,True
GSE197731_KO,24h,S100a9,Tlr4,Microglia,Macrophage,2.813558,0.0,2.3913277e-13,0.05374701,0.38388038,Alarmin,True
GSE197731_KO,48h,S100a9,Tlr4,Microglia,Oligodendrocyte,4.2467403,0.0,0.81577146,0.038299926,0.7450843,Alarmin,True
GSE197731_KO,24h,Sdc1,Cxcl12,Macrophage,Endothelial,1.3743862,1.693111e-08,0.45351,0.041436885,0.10902083,ECM,True
GSE197731_KO,48h,Sdc1,Cxcl12,Macrophage,Endothelial,1.009928,0.08182392,0.4555157,0.041436885,0.08445985,ECM,False
GSE197731_KO,24h,Spp1,Cd44,NK,Pericyte,4.288142,2.1402581e-14,0.00019660445,0.02607671,0.52799964,Osteopontin,True
GSE197731_KO,48h,Spp1,Cd44,Microglia,Endothelial,3.9319901,0.0,0.0030739745,0.064382546,0.99695003,Osteopontin,True
GSE197731_KO,24h,Spp1,Itgav,NK,Endothelial,3.51143,2.1402581e-14,0.24103086,0.023167567,0.2745997,Osteopontin,True
GSE197731_KO,48h,Spp1,Itgav,Endothelial,Oligodendrocyte,-2.9811819,0.8033699,0.050837375,0.26963997,0.033274155,Osteopontin,False
GSE197731_KO,24h,Tgfb1,Acvrl1,NK,Microglia,1.4180413,4.0052024e-07,3e-45,0.09143892,0.24601758,TGFb,True
GSE197731_KO,48h,Tgfb1,Acvrl1,Microglia,Endothelial,-1.1852467,1.6826675e-36,0.2415938,1.0945154,0.4807522,TGFb,True
GSE197731_KO,24h,Tgfb1,Tgfbr1,Oligodendrocyte,Pericyte,-2.4512982,0.5195656,0.00043748762,0.45378625,0.08215589,TGFb,True
GSE197731_KO,48h,Tgfb1,Tgfbr1,Microglia,Endothelial,-2.221323,1.6826675e-36,0.22231166,0.5189287,0.1104959,TGFb,True
GSE197731_KO,24h,Tgfb1,Tgfbr2,NK,Endothelial,1.7905561,4.0052024e-07,0.0071068695,0.40493333,1.403319,TGFb,True
GSE197731_KO,48h,Tgfb1,Tgfbr2,Microglia,Oligodendrocyte,-1.799566,1.6826675e-36,0.0011564295,0.4799485,0.13715772,TGFb,True
GSE197731_KO,48h,Tgfb2,Acvrl1,Endothelial,Endothelial,-1.1390884,0.8222651,0.2415938,0.2877495,0.13010566,TGFb,False
GSE197731_KO,48h,Tgfb2,Tgfbr2,Endothelial,Oligodendrocyte,-1.7382827,0.8222651,0.0011564295,0.12617907,0.037118908,TGFb,True
GSE197731_KO,24h,Thbs1,Cd47,Oligodendrocyte,Endothelial,2.483618,9.777841e-07,0.22738527,0.34805065,1.9512346,Thrombospondin,True
GSE197731_KO,48h,Thbs1,Cd47,Microglia,Endothelial,3.187498,0.0,0.13818116,0.11834232,1.086244,Thrombospondin,True
GSE197731_KO,24h,Tnf,Tnfrsf1a,Oligodendrocyte,Oligodendrocyte,2.860326,0.0019946373,0.027754445,0.077967845,0.5724483,Cytokine,True
GSE197731_KO,48h,Tnf,Tnfrsf1a,Oligodendrocyte,Tcell,3.7152321,0.0010354056,0.13426904,0.03069811,0.41532227,Cytokine,True
GSE197731_KO,24h,Vcam1,Itga4,Endothelial,Tcell,1.5641207,0.22984546,0.05634107,0.19274738,0.5719056,Adhesion,False
GSE197731_KO,48h,Vcam1,Itga4,Endothelial,Bcell,0.5985318,0.7284715,0.013071561,0.20914297,0.3171932,Adhesion,True
GSE197731_KO,24h,Vcam1,Itgav,Endothelial,Endothelial,2.1534219,0.22984546,0.24103086,0.07386628,0.33206645,Adhesion,False
GSE197731_KO,48h,Vcam1,Itgav,Endothelial,Oligodendrocyte,-0.8256916,0.7284715,0.050837375,0.11399431,0.06388113,Adhesion,False
GSE197731_KO,24h,Vcan,Cd44,Macrophage,Pericyte,2.381756,2.440768e-07,0.00019660445,0.14170156,0.7427189,ECM,True
GSE197731_KO,48h,Vcan,Cd44,Macrophage,Endothelial,2.5082679,0.00243698,0.0030739745,0.13304648,0.76163954,ECM,True
GSE197731_KO,24h,Vegfa,Flt1,Pericyte,Endothelial,1.5442325,0.31345874,0.07339474,0.31082538,0.90843517,VEGF,False
GSE197731_KO,48h,Vegfa,Flt1,Macrophage,Endothelial,-0.23249635,0.025390148,0.21866572,0.9272322,0.7890749,VEGF,False
GSE197731_KO,24h,Vegfa,Kdr,Pericyte,Endothelial,1.8522568,0.31345874,0.02731459,0.10437962,0.37948847,VEGF,True
GSE197731_KO,48h,Vegfa,Kdr,Endothelial,Endothelial,0.18685462,0.65473235,0.72963434,0.06769339,0.07719227,VEGF,False
GSE197731_KO,24h,Vegfc,Flt4,Endothelial,Endothelial,3.0339127,0.36618245,0.2329986,0.003799289,0.03830752,VEGF,False
