tf,target,dorothea_weight,dorothea_sign,a_aff,r_24h,r_raw_24h,r_sham,r_raw_sham,dW_sham_24h,dW_raw_sham_24h,p_sham_24h,fdr_bh_sham_24h,q_pooled_sham_24h
Ncoa2,Rabgap1l,0.3333333333333333,activation,-0.003561948401509303,-0.001737203449010849,0.002695738337934017,0.007989798672497272,0.011151808314025402,-0.009727002121508121,-0.008456069976091385,0.7611940298507462,0.9902517969061008,0.9910795454545455
Ncoa2,Etl4,0.3333333333333333,activation,-0.003709543585641769,0.030480992048978806,0.03159084916114807,0.0004943855456076562,0.0030072592198848724,0.029986606910824776,0.0285835899412632,0.4427860696517413,0.9736445509677888,0.9747315722198552
Ncoa2,Chd6,0.3333333333333333,activation,-0.006406920082962597,0.0025694218929857016,0.017389638349413872,-0.026765087619423866,-0.021349864080548286,0.02933450974524021,0.03873950242996216,0.38308457711442784,0.9736445509677888,0.9688838153221715
Ncoa2,Ncoa3,0.3333333333333333,activation,-0.0035689766988029337,-0.014330639503896236,-0.01396307721734047,0.01046424824744463,0.01629731059074402,-0.024794887751340866,-0.030260387808084488,0.472636815920398,0.9744479759664432,0.9784753004005341
Ncoa2,Trim33,0.3333333333333333,activation,-0.004146883300877187,0.029385149478912354,0.02632911317050457,0.0009214477031491697,0.0013226756127551198,0.028463702648878098,0.025006437674164772,0.4427860696517413,0.9736445509677888,0.9770412716118237
Ncoa2,Hipk1,0.3333333333333333,activation,-0.01532912477390636,-0.002936525037512183,0.004383285529911518,0.06841207295656204,0.07168729603290558,-0.07134860008955002,-0.06730400770902634,0.06965174129353234,0.9062246905009835,0.8546972754793138
Ncoa2,Srpk2,0.3333333333333333,activation,-0.0036150127564560253,-0.006282364018261433,0.0004460824129637331,-0.00839459802955389,-0.0018646533135324717,0.0021122340112924576,0.0023107356391847134,0.9502487562189055,0.9976205087826963,0.9975490575781049
Ncoa2,Med13l,0.3333333333333333,activation,0.004884248840055929,0.00765119818970561,0.009217357262969017,-0.017016811296343803,-0.0095765870064497,0.0246680099517107,0.018793944269418716,0.5074626865671642,0.9810040705563093,0.9747890414837888
Ncoa2,Utrn,0.3333333333333333,activation,-0.0194703353618972,0.03310151770710945,0.038828738033771515,-0.027428148314356804,-0.011943320743739605,0.060529664158821106,0.050772059708833694,0.12437810945273632,0.9220932723980665,0.8965432801822324
Ncoa2,Ank3,0.3333333333333333,activation,-0.004503619563763056,0.03137443587183952,0.07717283070087433,0.002005305839702487,0.031060069799423218,0.029369130730628967,0.04611276090145111,0.3781094527363184,0.9736445509677888,0.9692004909983634
Ncoa2,Gse1,0.3333333333333333,activation,-0.002520121300491086,0.04925834387540817,0.05026217922568321,0.00919801089912653,0.011073886416852474,0.04006033390760422,0.03918829187750816,0.32338308457711445,0.9684182794686481,0.9687051111533346
Ncoa2,Msi2,0.3333333333333333,activation,-0.012522469569666553,0.005981985945254564,0.007449175231158733,0.025688890367746353,0.025061048567295074,-0.019706904888153076,-0.017611872404813766,0.582089552238806,0.98441106392678,0.9874035106270488
Ncoa2,Bptf,0.3333333333333333,activation,-0.005324156551524393,0.011404445394873619,0.02166791819036007,-0.019900159910321236,-0.010090443305671215,0.031304605305194855,0.03175836056470871,0.3582089552238806,0.9736445509677888,0.9688313841857218
