study,transition,ligand,receptor,sender,receiver,log2FC,pLig,pRec,score_sham,score_mcao,pathway,sig,linked_to_MR
GSE225948,14d,Spp1,Cd44,Mg3,MdC5,3.934401,1.5241299e-17,0.2922512,0.094962485,1.466149,Osteopontin,True,True
GSE225948,2d,Tgfb1,Acvrl1,Mg7,EC2,2.4303713,0.10049545,0.0034280913,0.019276839,0.10829868,TGFb,True,True
GSE225948,14d,Tgfb1,Acvrl1,Mg7,EC6,2.7780638,0.00422741,0.54886645,0.027261658,0.1928555,TGFb,True,True
GSE225948,2d,Tgfb1,Tgfbr1,DC3,BAM4,-2.6062722,0.36341304,0.54600155,0.03784723,0.005379607,TGFb,False,True
GSE225948,14d,Tgfb1,Tgfbr1,Mg7,DC8,4.681114,0.00422741,0.5683361,0.0018867495,0.07305678,TGFb,True,True
GSE225948,2d,Tgfb1,Tgfbr2,DC3,BAM4,-2.8097994,0.36341304,0.4963853,0.044284713,0.005458292,TGFb,False,True
GSE225948,14d,Tgfb1,Tgfbr2,Mg7,Mg3,2.9444768,0.00422741,0.023977568,0.010957533,0.09104865,TGFb,True,True
GSE225948,2d,Tgfb2,Acvrl1,EC4,EC2,1.152555,0.8073145,0.0034280913,0.025278984,0.057420086,TGFb,True,True
GSE225948,14d,Tgfb2,Acvrl1,EC7,EC6,1.4587103,0.2622621,0.54886645,0.060391344,0.1677418,TGFb,False,True
GSE225948,2d,Tgfb2,Tgfbr2,EC4,BAM4,-2.3686128,0.8073145,0.4963853,0.043362103,0.00758991,TGFb,False,True
GSE225948,14d,Tgfb2,Tgfbr2,EC7,Mg3,1.6658287,0.2622621,0.023977568,0.024273656,0.079192266,TGFb,True,True
GSE225948,2d,Thbs1,Cd36,MdC3,BAM3,2.547295,3.064565e-07,0.66253555,0.1081269,0.63688743,Thrombospondin,True,True
GSE225948,14d,Thbs1,Cd36,MdC5,BAM4,2.107309,0.04137111,0.400141,0.10639917,0.46176893,Thrombospondin,True,True
GSE225948,2d,Thbs1,Cd47,MdC3,Tc7,2.6227977,3.064565e-07,0.85376483,0.16290285,1.0085486,Thrombospondin,True,True
GSE225948,14d,Thbs1,Cd47,MdC2,Gran5,-3.1867752,0.22251183,0.04908179,3.1529088,0.3453652,Thrombospondin,True,True
GSE174574,24h,Thbs2,Cd47,Neuron,Pericyte,-0.78044504,0.0,0.19539091,0.38492337,0.22367962,Thrombospondin,True,True
GSE225948,2d,Tnf,Tnfrsf1a,Mg6,MdC3,3.4139788,3.3863805e-06,0.00010462344,0.01385876,0.15737717,Cytokine,True,True
GSE225948,14d,Tnf,Tnfrsf1a,Mg6,BAM4,3.3347764,2.2492404e-07,0.44333646,0.011032243,0.120398775,Cytokine,True,True
GSE225948,2d,Vcam1,Itga4,BAM4,BAM4,-3.44587,0.64990956,0.24900787,0.11892085,0.010004859,Adhesion,False,True
GSE225948,14d,Vcam1,Itga4,BAM4,BAM4,-2.3438454,0.822899,0.42174652,0.11892085,0.022622557,Adhesion,False,True
GSE225948,2d,Vcan,Cd44,MdC2,MdC5,3.7434697,0.054780044,0.004222638,0.015422555,0.2189568,ECM,True,True
GSE225948,14d,Vcan,Cd44,MdC2,MdC5,1.9428291,0.23399188,0.2922512,0.015422555,0.062137965,ECM,False,True
GSE225948,14d,Vegfa,Flt1,Gran5,MC2,3.4250827,0.84869117,2.411085e-05,0.045784216,0.5015184,VEGF,True,True
GSE225948,14d,Vegfa,Kdr,Gran5,EC5,2.4876854,0.84869117,0.0002035255,0.015299064,0.09041776,VEGF,True,True
